Country,Capital,Area (sq km),Population
Albania,Tirana,28748,2886026
Andorra,Andorra la Vella,468,77354
Austria,Vienna,83879,8923073
Belarus,Minsk,207600,9408400
Belgium,Brussels,30528,11492641
Bosnia and Herzegovina,Sarajevo,51197,3301000
Bulgaria,Sofia,110879,6916548
Croatia,Zagreb,56594,4036355
Cyprus,Nicosia,9251,1189085
Czech Republic,Prague,78866,10693939
Denmark,Copenhagen,43094,5822763
Estonia,Tallinn,45227,1328439
Finland,Helsinki,338424,5532156
France,Paris,551695,67413000
Germany,Berlin,357386,83240525
Greece,Athens,131957,10423054
Hungary,Budapest,93030,9769526
Iceland,Reykjavik,103000,368792
Ireland,Dublin,70273,5123536
Italy,Rome,301340,58983122
Kosovo,Pristina,10887,1798506
Latvia,Riga,64589,1866747
Liechtenstein,Vaduz,160,39039
Lithuania,Vilnius,65300,2794090
Luxembourg,Luxembourg City,2586,634730
Malta,Valletta,316,514564
Moldova,Chisinau,33846,2604210
Monaco,Monaco,2.02,39242
Montenegro,Podgorica,13812,622359
Netherlands,Amsterdam,41543,17625000
North Macedonia,Skopje,25713,2067608
Norway,Oslo,385207,5434319
Poland,Warsaw,312696,37784000
Portugal,Lisbon,92090,10356117
Romania,Bucharest,238397,19659267
Russia,Moscow,17098242,146171015
San Marino,San Marino,61,33660
Serbia,Belgrade,77474,6645100
Slovakia,Bratislava,49035,5432157
Slovenia,Ljubljana,20273,2103165
Spain,Madrid,505992,47450795
Sweden,Stockholm,450295,10480819
Switzerland,Bern,41290,8738791
Turkey,Ankara,783356,85279553
Ukraine,Kyiv,603550,36744634
United Kingdom,London,243610,67436184
Vatican City,Vatican City,0.49,825
