movieID,rating,movieBudget,USsales,internationalSales
1,8.30,200000000,191796233,170162503
2,7.20,200000000,162798565,200600000
3,7.90,240000000,245852179,239163000
4,8.10,250000000,289916256,272900000
5,8.20,600000000,380843261,555900000
6,8.00,375000000,261441092,370001000
7,7.20,245000000,244082982,217900167
8,8.00,417500000,206445654,417277164
9,8.50,275000000,223808164,297503696
10,8.30,400000000,293004164,438338580
11,8.40,500000000,415004880,648167031
12,6.40,400000000,191452396,368400000
13,7.20,300500000,237283207,301700000
14,7.40,500000000,268492764,475066843
