petID,vaxID,vaxDate,reaction,paid
13,3,2019-09-03,TRUE,TRUE
5,1,2020-06-23,FALSE,FALSE
1,2,2015-12-17,FALSE,TRUE
17,2,2015-10-05,FALSE,TRUE
6,5,2020-12-20,FALSE,FALSE
16,3,2016-05-12,FALSE,TRUE
21,8,2019-12-10,FALSE,FALSE
19,4,2019-12-21,FALSE,FALSE
19,2,2021-07-06,FALSE,TRUE
8,9,2020-10-18,FALSE,FALSE
14,9,2017-06-21,FALSE,TRUE
15,6,2017-04-04,FALSE,FALSE
15,3,2020-06-03,FALSE,TRUE
9,8,2017-08-07,FALSE,FALSE
9,8,2021-03-05,FALSE,FALSE
7,3,2014-07-08,FALSE,TRUE
20,1,2015-11-19,FALSE,FALSE
5,7,2020-10-26,FALSE,TRUE
19,1,2019-09-04,FALSE,TRUE
15,3,2015-03-15,FALSE,TRUE
20,9,2021-09-05,FALSE,FALSE
9,10,2013-07-16,TRUE,TRUE
7,9,2017-05-16,FALSE,TRUE
2,4,2021-11-06,FALSE,FALSE
21,8,2020-10-26,FALSE,FALSE
