raceNumber,position,lane,swimmerID,raceTime
1,3,6,ENG-I1,1:02.46
1,7,1,ENG-I3,1:03.31
1,2,4,NIR-I1,1:02.45
1,6,3,NIR-I3,1:02.80
1,1,8,SCO-A4,1:02.28
1,4,5,SCO-I2,1:02.51
1,5,2,WAL-I2,1:02.59
1,8,7,WAL-I4,1:03.37
2,2,3,ENG-A2,2:12.17
2,4,6,ENG-A3,2:16.07
2,1,4,NIR-A2,2:09.48
2,6,2,NIR-A3,2:16.90
2,7,8,SCO-A1,2:16.99
2,3,5,SCO-I4,2:12.30
2,8,1,WAL-A2,2:19.32
2,5,7,WAL-A4,2:16.39
3,4,6,ENG-I1,0:59.38
3,8,8,ENG-I4,1:00.75
3,2,5,NIR-I2,0:59.10
3,3,3,NIR-I3,0:59.24
3,1,4,SCO-I1,0:58.43
3,5,1,SCO-I2,0:59.77
3,7,7,WAL-I2,1:00.57
3,6,2,WAL-I3,1:00.25
4,2,4,ENG-A3,0:21.91
4,4,7,ENG-A4,0:22.57
4,6,2,NIR-A1,0:22.65
4,8,8,NIR-A2,0:23.04
4,7,1,SCO-A2,0:22.79
4,5,5,SCO-A3,0:22.58
4,3,3,WAL-A2,0:22.52
4,1,6,WAL-A3,0:21.77
5,1,4,ENG-I2,1:57.61
5,3,6,ENG-I4,1:57.90
5,5,5,NIR-I2,1:59.80
5,7,1,NIR-I4,2:00.10
5,2,7,SCO-I1,1:57.63
5,8,2,SCO-I3,2:00.63
5,4,3,WAL-I1,1:59.44
5,6,8,WAL-I3,2:00.06
6,1,5,ENG-A1,0:54.56
6,4,6,ENG-A2,0:54.85
6,8,7,NIR-A3,0:55.15
6,6,8,NIR-A4,0:55.07
6,2,2,SCO-A3,0:54.58
6,5,3,SCO-I4,0:55.04
6,7,1,WAL-A1,0:55.13
6,3,4,WAL-A3,0:54.75
7,5,1,ENG-I2,2:32.06
7,3,6,ENG-I3,2:27.61
7,2,5,NIR-I1,2:27.34
7,6,2,NIR-I4,2:32.57
7,1,3,SCO-A4,2:24.28
7,7,4,SCO-I3,2:33.51
7,8,8,WAL-I1,Disqualified
7,4,7,WAL-I4,2:31.16
8,1,2,ENG-A1,1:56.31
8,6,3,ENG-A4,2:00.45
8,7,7,NIR-A1,2:02.14
8,5,8,NIR-A4,1:59.98
8,4,1,SCO-A1,1:58.60
8,8,6,SCO-A2,2:02.90
8,3,4,WAL-A1,1:57.77
8,2,5,WAL-A4,1:57.31
9,6,7,ENG-I2,0:55.47
9,2,5,ENG-I4,0:53.92
9,3,3,NIR-I2,0:55.14
9,7,1,NIR-I4,0:55.49
9,1,4,SCO-I1,0:53.45
9,8,6,SCO-I3,0:55.68
9,5,8,WAL-I1,0:55.27
9,4,2,WAL-I3,0:55.23
10,8,2,ENG-A3,3:53.43
10,2,3,ENG-A4,3:48.52
10,5,8,NIR-A1,3:52.54
10,7,7,NIR-A2,3:53.26
10,3,4,SCO-A2,3:48.58
10,4,5,SCO-A3,3:51.86
10,6,6,WAL-A2,3:52.82
10,1,1,WAL-A3,3:46.44
11,1,6,ENG-I1,2:11.25
11,5,5,ENG-I3,2:13.12
11,6,7,NIR-I1,2:13.56
11,2,3,NIR-I3,2:11.84
11,7,2,SCO-A4,2:15.63
11,3,4,SCO-I2,2:12.12
11,4,1,WAL-I2,2:12.34
11,8,8,WAL-I4,2:16.04
12,6,7,ENG-A2,1:02.08
12,2,6,ENG-A3,0:59.17
12,4,3,NIR-A2,1:00.87
12,3,5,NIR-A3,1:00.04
12,7,2,SCO-A1,1:02.09
12,5,1,SCO-I4,1:01.95
12,1,8,WAL-A2,0:58.58
12,8,4,WAL-A4,1:02.11
13,1,4,ENG-I1,2:08.11
13,5,7,ENG-I4,2:13.02
13,8,2,NIR-I2,DNF
13,6,6,NIR-I3,2:13.21
13,3,3,SCO-I1,2:10.27
13,4,5,SCO-I2,2:11.68
13,2,1,WAL-I2,2:10.02
13,7,8,WAL-I3,2:14.06
14,5,8,ENG-A3,0:49.26
14,8,3,ENG-A4,0:49.51
14,7,2,NIR-A1,0:49.40
14,1,6,NIR-A2,0:47.88
14,6,7,SCO-A2,0:49.30
14,3,4,SCO-A3,0:48.24
14,2,5,WAL-A2,0:48.06
14,4,1,WAL-A3,0:49.20
15,5,1,ENG-I2,4:14.48
15,1,4,ENG-I4,4:08.46
15,2,3,NIR-I2,4:09.04
15,6,8,NIR-I4,4:16.37
15,3,5,SCO-I1,4:13.24
15,7,2,SCO-I3,4:18.39
15,8,7,WAL-I1,4:19.81
15,4,6,WAL-I3,4:13.95
16,1,8,ENG-A1,1:57.57
16,6,1,ENG-A2,2:01.07
16,8,5,NIR-A3,2:02.33
16,3,3,NIR-A4,1:58.80
16,4,7,SCO-A3,1:59.49
16,7,6,SCO-I4,2:02.07
16,5,4,WAL-A1,1:59.79
16,2,2,WAL-A3,1:57.90
17,5,5,ENG-I2,1:09.32
17,3,1,ENG-I3,1:07.63
17,4,6,NIR-I1,1:08.83
17,8,2,NIR-I4,1:10.36
17,1,3,SCO-A4,1:07.52
17,7,7,SCO-I3,1:10.15
17,6,8,WAL-I1,1:10.02
17,2,4,WAL-I4,1:07.60
18,1,2,ENG-A1,0:51.69
18,5,1,ENG-A4,0:53.22
18,3,3,NIR-A1,0:52.46
18,6,8,NIR-A4,0:53.33
18,7,6,SCO-A1,0:53.90
18,2,5,SCO-A2,0:51.93
18,8,4,WAL-A1,0:53.98
18,4,7,WAL-A4,0:52.55
19,5,1,ENG-I2,0:25.61
19,1,4,ENG-I4,0:24.85
19,8,6,NIR-I2,Disqualified
19,6,8,NIR-I4,0:25.73
19,2,5,SCO-I1,0:25.25
19,3,2,SCO-I3,0:25.39
19,7,7,WAL-I1,0:25.74
19,4,3,WAL-I3,0:25.54
20,8,8,ENG-A3,1:49.39
20,6,5,ENG-A4,1:48.52
20,2,4,NIR-A1,1:45.73
20,1,7,NIR-A2,1:45.54
20,4,3,SCO-A2,1:47.66
20,5,2,SCO-A3,1:47.94
20,3,1,WAL-A2,1:46.44
20,7,6,WAL-A3,1:48.67
