title,destination,country,dateOfDeparture,nights,hotelRef
Barcelona Pricebuster,Catalonia,Spain,13/07/2013,3,H102
Beautiful Berlin,Berlin,Germany,30/07/2013,4,H108
Budget Dublin,Dublin,Ireland,08/08/2013,2,H138
Capital Spain,Madrid,Spain,12/07/2013,3,H110
Catalonia Caper,Catalonia,Spain,25/06/2013,3,H101
Catalonia Crystal,Catalonia,Spain,30/06/2013,3,H101
Catalonia on a budget,Catalonia,Spain,26/07/2013,3,H102
Dublin Attractions,County Dublin,Ireland,08/08/2013,3,H140
Dublin City Break,Dublin,Ireland,01/08/2013,3,H139
Dublin Package,Dublin,Ireland,16/08/2013,3,H138
Edinburgh City Break,Edinburgh,Scotland,13/07/2013,2,H133
Eternal City,Trastevere-Rome,Italy,05/07/2013,5,H122
France Fantastic,Ile De France,France,16/08/2013,5,H113
French Attractions,Ile De France,France,08/08/2013,4,H112
French Experience,Ile De France,France,14/07/2013,6,H113
Geloland,Windsor,England,23/07/2013,4,H118
Germany Afresh,Brandenburg,Germany,12/08/2013,5,H108
Glorious Paris,Champs Élysées,France,15/07/2013,4,H114
Glorious Spain,Madrid,Spain,14/07/2013,5,H109
Green Ireland,Dublin Bay,Ireland,23/08/2013,4,H137
Irish Glory,County Dublin,Ireland,17/08/2013,4,H139
Italy Glory,Trastevere-Rome,Italy,03/07/2013,2,H124
Italy Heaven,Lazio,Italy,03/08/2013,4,H121
Italy Luxury,Trastevere-Rome,Italy,04/07/2013,3,H123
Italy Package,Fiumicino,Italy,05/06/2013,5,H125
La vie française,Ile De France,France,03/08/2013,5,H113
Lisbon Package,Sintra,Portugal,13/06/2013,6,H130
London Attractions,Kensington,England,04/08/2013,2,H115
London Highlights,Kensington,England,07/07/2013,4,H119
London on a budget,Islington,England,27/07/2013,3,H115
London Package,Hammersmith,England,01/07/2013,3,H116
London Traveller,Greenwich,England,15/08/2013,4,H116
Lovely Lisbon,Lisbon,Portugal,06/06/2013,3,H130
Madrid Attractions,Argüelles,Spain,14/08/2013,5,H109
Madrid City Break,Madrid,Spain,03/07/2013,2,H109
Madrid Summer Madness,Argüelles,Spain,15/08/2013,7,H110
Old England,Canary Wharf,England,20/07/2013,4,H117
Paris and Surroundings,Ile De France,France,01/07/2013,3,H112
Paris Luxury,Champs Élysées,France,23/08/2013,2,H114
Paris on a budget,Ile De France,France,01/08/2013,3,H111
Paris Package,Quartier Latin,France,02/08/2013,5,H113
Paris Paradise,Paris,France,05/06/2013,3,H114
Portugal on a budget,Lisbon,Portugal,03/07/2013,2,H131
Portugal Relax,Silver Coast,Portugal,20/07/2013,5,H128
Portugal Sun,Sintra,Portugal,20/07/2013,3,H129
Portugal Tour,Silver Coast,Portugal,20/06/2013,5,H129
Regal London,Canary Wharf,England,07/07/2013,5,H120
Religious Rome,Vatican City,Italy,03/06/2013,4,H127
Roman Route,Lazio,Italy,04/06/2013,4,H126
Romantic Rome,Rome,Italy,10/07/2013,4,H127
Scenic Scotland,East Coast,Scotland,20/08/2013,4,H135
Scotland Attractions,East Coast,Scotland,06/07/2013,5,H133
Scottish Glory,Lothian,Scotland,23/06/2013,4,H132
Scottish Luxury,Edinburgh,Scotland,14/08/2013,4,H134
Scottish Package,Lothian,Scotland,30/06/2013,3,H132
Seven Hills,Lisbon Area,Portugal,13/07/2013,5,H131
Sorbonne Special,Quartier Latin,France,14/07/2013,4,H111
Spanish Beach,Catalonia,Spain,05/08/2013,5,H104
Spanish Luxury,Catalonia,Spain,04/08/2013,3,H103
Spanish Siesta,Madrid,Spain,17/06/2013,5,H109
Spanish Sun,Catalonia,Spain,12/08/2013,5,H104
Tartan Experience,East Coast,Scotland,20/07/2013,4,H136
Theatre Break,London West End,England,03/08/2013,3,H117
Vibrant Paris,Quartier Latin,France,30/07/2013,5,H112
Wimbledon Winner,Wimbledon,England,01/07/2013,6,H120
