hotelRef,hotelName,city,starRating,pricePerNight,kmFromAirport
H101,Catalonia Inn,Barcelona,2,40.00,11.1
H102,Barce Bunkhouse,Barcelona,1,25.00,15.3
H103,Casa Luxor,Barcelona,5,100.00,13.4
H104,Villa Grande,Barcelona,5,95.00,12.7
H105,Catalonia Lux,Barcelona,5,75.00,12.3
H106,Die Wand Hotel,Berlin,4,70.00,14.0
H107,Den Baumkronen,Berlin,1,30.00,15.6
H108,Der Wald,Berlin,3,60.00,16.3
H109,Hotel Tranquilo,Madrid,5,95.00,15.6
H110,Empera,Madrid,3,62.00,14.1
H111,Napolean Ville,Paris,2,48.00,18.3
H112,Maison De Jean,Paris,1,35.00,17.7
H113,Hotel Saint-Jean,Paris,3,59.00,18.0
H114,Champs-Elysees Star Residence,Paris,5,120.00,19.0
H115,Sleepy Inn,London,1,39.00,14.8
H116,Eastern Hotel,London,2,47.00,6.5
H117,The Westroy,London,3,55.00,22.5
H118,Number 9,London,3,58.00,18.5
H119,Tower Turrets,London,5,135.00,17.0
H120,St James House,London,5,120.00,16.0
H121,Hotel Vicori,Rome,4,85.00,34.5
H122,Hotel Fario,Rome,4,80.00,18.6
H123,Hotel Geno,Rome,4,78.00,22.9
H124,Darios,Rome,3,65.00,23.0
H125,Avanti,Rome,2,45.00,26.8
H126,Hotel Evoli,Rome,3,64.00,28.3
H127,Hotel Sereno,Rome,4,82.00,25.4
H128,Paz,Lisbon,3,67.00,10.0
H129,Feriado,Lisbon,3,68.00,12.3
H130,Lisboa Bay,Lisbon,3,62.00,16.0
H131,Lado Colina,Lisbon,2,55.00,25.0
H132,Hotel Caledonia,Edinburgh,3,57.00,14.5
H133,Castle View,Edinburgh,4,65.00,9.8
H134,Princes Hotel,Edinburgh,5,89.00,13.5
H135,The Holyrood,Edinburgh,3,59.00,10.7
H136,Classic Hotel,Edinburgh,4,72.00,12.0
H137,Liffey House,Dublin,3,55.00,13.0
H138,Dublin Apartments,Dublin,1,29.00,14.5
H139,Central Road Hotel,Dublin,3,65.00,10.1
H140,Trinty Towers,Dublin,4,76.00,12.6
