surname,forename,country,number,category,gender,half,finish
Ingham,Vicki,GBR,194,18-39,F,01:28:31,03:06:56
Warrington,Caroline,GBR,199,40-44,F,01:26:18,02:58:43
Rush,Holly,GBR,202,40-44,F,01:24:03,02:48:04
Blizzard,Louise,GBR,207,45-49,F,01:34:16,03:07:45
Burns,Natalie,GBR,208,18-39,F,01:28:09,02:57:23
Thomas,Laura,GBR,209,18-39,F,01:22:02,02:46:16
Morrall,Zelah,GBR,213,50-54,F,01:27:18,02:55:18
Granger,Annabel,GBR,215,45-49,F,01:22:20,02:49:48
Richardson,Chloe,GBR,220,18-39,F,01:17:58,02:37:08
Thackray,Alice,GBR,221,18-39,F,01:25:26,02:52:15
Bentley,Joanne,GBR,223,45-49,F,01:27:25,03:03:24
Brooks,Caroline,GBR,230,40-44,F,01:26:52,03:03:01
Charlton,Catherine,GBR,235,40-44,F,01:28:13,02:57:37
Woodyard,Nikki,GBR,239,40-44,F,01:27:40,02:57:52
Mcdonald,Susan,GBR,242,50-54,F,01:22:59,02:51:27
Partridge,Amy,GBR,245,18-39,F,01:31:19,03:03:33
Still,Ellie,GBR,246,18-39,F,01:30:04,03:01:16
Neesam,Kay,GBR,247,50-54,F,01:28:59,02:58:18
Roberts,Frances,GBR,253,18-39,F,01:29:59,03:07:12
Hillier-moses,Gemma,GBR,255,18-39,F,01:22:14,02:49:26
Mcewing,Alison,GBR,271,18-39,F,01:24:52,02:51:47
Beever,Margaret,GBR,274,40-44,F,01:27:59,03:00:14
Young,Ali,GBR,276,45-49,F,01:30:57,03:06:54
Beckett,Mabel,GBR,287,18-39,F,01:24:43,02:49:30
Fitzpatrick,Claire,GBR,291,18-39,F,01:28:17,03:04:43
Grima,Claire,GBR,296,40-44,F,01:23:44,02:50:30
Bradshaw,Liza,GBR,298,18-39,F,01:26:11,03:01:23
Phillips,Suzanne,GBR,303,18-39,F,01:29:32,03:05:29
Mcgrevey,Jenna,GBR,310,18-39,F,01:26:28,02:52:01
Thompson,Emma,GBR,313,40-44,F,01:33:42,03:06:51
Gurney,Sarah,GBR,317,50-54,F,01:26:10,02:54:43
Styles,Emma,GBR,326,18-39,F,01:21:12,02:42:35
Mccall,Steph,GBR,330,18-39,F,01:20:48,02:51:23
Shedden,Sarah,GBR,333,45-49,F,01:31:23,03:08:30
Holden,Meriel,GBR,342,50-54,F,01:32:27,03:08:11
Stanyard,Faye,GBR,344,40-44,F,01:31:57,03:04:43
Anderson,Emily,GBR,349,18-39,F,01:26:28,03:04:56
Hoskins,Carrie,GBR,352,50-54,F,01:26:47,03:01:10
Gabb,Ania,GBR,355,18-39,F,01:24:13,02:49:48
Monks,Ellie,GBR,358,18-39,F,01:25:51,02:57:48
Howard,Claire,GBR,361,50-54,F,01:27:24,02:55:05
Ball,Jenni,GBR,365,18-39,F,01:29:03,03:02:28
Rooney,Lisa,AUS,370,40-44,F,01:27:04,03:00:04
Mcclelland,Alexandra,GBR,372,18-39,F,01:28:25,02:55:18
Sargeant,Katherine,GBR,373,50-54,F,01:28:00,03:00:51
Ragan,Charlotte,GBR,374,18-39,F,01:26:46,02:58:17
Boswell,Rachel,GBR,375,18-39,F,01:29:17,02:58:27
Trimble,Laura,GBR,377,18-39,F,01:26:45,02:59:15
Warrack,Polly,GBR,378,18-39,F,01:28:26,02:56:59
Buck,Victoria,GBR,384,45-49,F,01:30:48,03:06:16
Ward,Katy,GBR,385,40-44,F,01:28:43,03:06:09
Colman,Lindsey,GBR,387,40-44,F,01:28:48,02:59:24
Birkin,Sasha,GBR,389,50-54,F,01:29:34,03:02:48
Wilkins,Melanie,GBR,394,18-39,F,01:19:04,02:41:49
Dadswell,Ruth,GBR,395,45-49,F,01:33:18,03:06:08
Hall,Rachel,GBR,400,18-39,F,01:26:54,02:53:35
Vincent,Rebecca,GBR,402,40-44,F,01:34:08,03:05:01
Dicks,Kelly,GBR,411,18-39,F,01:29:01,02:58:41
Lord,Hannah,GBR,412,18-39,F,01:23:53,02:48:36
Lysons,Katie,GBR,414,18-39,F,01:31:57,03:07:14
O'kill,Rebecca,GBR,415,18-39,F,01:28:25,03:01:35
Mcerlean,Claire,GBR,418,18-39,F,01:28:28,03:00:34
Grant,Eliza,GBR,423,18-39,F,01:32:32,03:08:03
Webster,Sarah,GBR,431,40-44,F,01:19:05,02:41:24
Wright,Vicky,GBR,436,40-44,F,01:26:04,02:55:17
Thomas,Claire,GBR,442,18-39,F,01:28:11,02:57:54
James-welsh,April,GBR,445,40-44,F,01:26:49,02:55:47
Bohane,Betty,GBR,450,18-39,F,01:34:29,03:08:06
Alcaraz,Toni,ESP,454,45-49,F,01:30:00,03:01:10
Bland,Gill,GBR,458,18-39,F,01:26:26,03:00:34
Furze,Georgina,GBR,466,18-39,F,01:29:23,03:03:47
Duncan,Susan,GBR,473,40-44,F,01:29:08,03:01:48
Payne,Gisela,GBR,480,40-44,F,01:30:48,03:06:19
Thompson,Bethany,GBR,483,40-44,F,01:30:19,03:04:25
Butler,Kelly,GBR,484,18-39,F,01:26:58,03:04:23
Lewis,Susan,GBR,487,45-49,F,01:26:36,02:54:24
Baddick,Vicky,GBR,491,18-39,F,01:28:40,02:57:39
Mulvey,Rachael,GBR,492,18-39,F,01:24:58,02:55:10
Stretton,Jackie,GBR,499,18-39,F,01:27:53,02:59:51
Ratcliffe,Victoria,GBR,500,45-49,F,01:29:08,02:59:21
Cooper,Lauren,GBR,501,18-39,F,01:25:49,02:49:49
Carroll,Natalie,GBR,505,18-39,F,01:29:47,03:05:50
Harris.,Samantha,GBR,507,40-44,F,01:29:46,03:00:42
Sinclair,Alice,GBR,514,18-39,F,01:32:31,03:07:31
King,Katie,GBR,519,18-39,F,01:23:53,02:48:30
Watkinson,Juliette,GBR,525,18-39,F,01:30:42,03:03:21
Paterson,Catriona,GBR,527,18-39,F,01:29:25,02:58:02
Lawrence,Natalie,GBR,528,18-39,F,01:29:26,03:01:59
Riddell-webster,Alice,GBR,529,50-54,F,01:32:00,03:05:59
Hall,Josephine,GBR,532,18-39,F,01:30:21,03:01:13
