route_id,depart_code,arrive_code,route,service,ferry_type,seasonal,operator,service_id,service_code,service_type,operator_code,operator_url,subsidy_type,subsidy_provider,distance_miles,duration_hours
F00101,ABA,KWH,Aberdeen - Kirkwall (Hatston),Aberdeen - Kirkwall - Lerwick,Vehicle,Year Round,Northlink Ferries,NL2-ABA-KWH,NL2,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,151.19,6.38
F00102,ABA,LHM,Aberdeen - Lerwick (Holmsgarth),Aberdeen - Kirkwall - Lerwick,Vehicle,Year Round,Northlink Ferries,NL2-ABA-LHM,NL2,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,217.73,12.88
F00103,KWH,LHM,Kirkwall (Hatston) - Lerwick (Holmsgarth),Aberdeen - Kirkwall - Lerwick,Vehicle,Year Round,Northlink Ferries,NL2-KWH-LHM,NL2,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,115.97,8.25
F00201,TOB,LAG,Mull (Tobermory) - Laga Bay,Ardnamurchan - Morvern - Mull,Passenger,Year Round,Ardnamurchan Charters,F28-TOB-LAG,F28,Lifeline,ADC,http://www.west-scotland-marine.com/en_GB/,Local Authority,Highland; Argyll & Bute Council,9.24,
F00203,TOB,DRM,Mull (Tobermory) - Drimnin,Ardnamurchan - Morvern - Mull,Passenger,Year Round,Ardnamurchan Charters,F28-TOB-DRM,F28,Lifeline,ADC,http://www.west-scotland-marine.com/en_GB/,Local Authority,Highland; Argyll & Bute Council,3.45,
F00301,ARD,BRB,Ardrossan - Arran (Brodick),Ardrossan - Arran,Vehicle,Year Round,CalMac Ferries,CM5-ARD-BRB,CM5,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.15,0.92
F00401,ARI,GAL,Arisaig - Eigg (Galmisdale),Arisaig - Eigg - Muck - Rum,Passenger,Summer,Arisaig Marine,F26-ARI-GAL,F26,Lifeline,ARI,http://www.arisaig.co.uk/eigg/,Private,,11.44,
F00501,AHB,ERI,Barra (Aird Mhor) - Eriskay (Ceann a Gharaidh),Barra - Eriskay,Vehicle,Year Round,CalMac Ferries,CM21-AHB-ERI,CM21,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.82,0.67
F00701,CBA,TRE,Barra (Castlebay) - Tiree,Barra - Tiree,Vehicle,Summer,CalMac Ferries,CM20-CBA-TRE,CM20,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,50.8,2.67
F00901,CLB,LCR,Claonaig - Arran (Lochranza),Claonaig - Arran,Vehicle,Summer,CalMac Ferries,CM6-CLB-LCR,CM6,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,4.52,0.5
F01001,COT,RHU,Colintraive - Bute (Rhubodach),Colintraive - Bute,Vehicle,Year Round,CalMac Ferries,CM4-COT-RHU,CM4,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,0.27,0.08
F01101,CRN,NGG,Cromarty - Nigg,Cromarty - Nigg,Vehicle,Summer,Highland Ferries,CF1-CRN-NGG,CF1,Lifeline,HFR,,Mixed,,0.81,
F01201,EAI,EAS,Seil (Ellenabeich) - Easdale,Ellenabeich - Easdale,Passenger,Year Round,Argyll & Bute Council,EAS-EAI-EAS,EAS,Lifeline,ABF,https://www.argyll-bute.gov.uk/ellenabeich-easdale-ferry-timetable,Local Authority,Argyll & Bute Council,0.24,0.08
F01301,FIO,IOA,Mull (Fionnphort) - Iona (Baile Mor),Fionnphort - Iona,Passenger,Year Round,CalMac Ferries,CM13-FIO-IOA,CM13,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,0.83,0.17
F01401,FWL,CAM,Fort William - Camusnagaul,Fort William - Camusnagaul,Passenger,Year Round,Highland Ferries,F02-FWL-CAM,F02,Lifeline,HFR,http://www.lochabertransport.org.uk/TransportinLochaber/PublicTransport/Ferries/CamusnagaulFerry.aspx,Local Authority,Highland Council,0.95,
F01501,GIL,SMH,Gills Bay - South Ronaldsay (St Margaret's Hope),Gill's Bay - South Ronaldsay,Vehicle,Year Round,Pentland Ferries,PF1-GIL-SMH,PF1,Lifeline,PEN,http://www.pentlandferries.co.uk/,Private,,19.99,1.0
F01601,DNU,GUR,Dunoon - Gourock,Gourock - Dunoon,Vehicle,Year Round,Argyll Ferries,CM1-DNU-GUR,CM1,Lifeline,AFL,http://www.argyllferries.co.uk/timetables-and-fares.htm,Scottish Government,Scottish Government,4.52,0.42
F01602,HUN,MCP,Dunoon (Hunter's Quay) - Gourock (McInroy's Point),Gourock - Dunoon,Vehicle,Year Round,Western Ferries,WF1-HUN-MCP,WF1,Lifeline,WFL,http://www.western-ferries.co.uk/timetable,Private,,2.5,0.33
F01701,GUR,KGN,Gourock - Kilcreggan,Gourock - Kilcreggan - Helensburgh,Passenger,Year Round,Clydelink,KIL-GUR-KGN,KIL,Lifeline,CLK,http://www.kilcregganferry.com/,Mixed,,1.77,0.22
F01801,SUM,FIE,Grutness - Fair Isle,Lerwick - Grutness - Fair Isle,Passenger,Year Round,Shetland Council,SF7-SUM-FIE,SF7,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,27.31,2.67
F01901,HTN,LYS,Houton - Hoy (Lyness),Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-HTN-LYS,OF2,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,6.13,0.58
F01902,LYS,FLH,Hoy (Lyness) - Flotta,Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-LYS-FLH,OF2,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.29,0.28
F01903,LHP,FLH,South Walls (Longhope) - Flotta,Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-LHP-FLH,OF2,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,4.09,0.33
F01904,LYS,LHP,Hoy (Lyness) - South Walls (Longhope),Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-LYS-LHP,OF2,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.79,0.33
F01905,HTN,FLH,Houton - Flotta,Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-HTN-FLH,OF2,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,6.28,0.58
F02001,PAK,FEO,Islay (Port Askaig) - Jura (Feolin),Islay - Jura,Vehicle,Year Round,ASP Ship Management,JUR-PAK-FEO,JUR,Lifeline,ABF,https://www.argyll-bute.gov.uk/port-askaig-feolin-ferry-timetable,Local Authority,Argyll & Bute Council,0.54,0.08
F02101,JOG,BWC,John O' Groats - South Ronaldsay (Burwick),John O' Groats - South Ronaldsay,Passenger,Summer,John O' Groats Ferries,JG1-JOG-BWC,JG1,Lifeline,JGF,http://www.jogferry.co.uk/Ferry.aspx,Private,,7.76,0.67
F02201,KEN,PAK,Kennacraig - Islay (Port Askaig),Kennacraig - Islay,Vehicle,Year Round,CalMac Ferries,CM9-KEN-PAK,CM9,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,29.38,1.98
F02202,KEN,PLN,Kennacraig - Islay (Port Ellen),Kennacraig - Islay,Vehicle,Year Round,CalMac Ferries,CM9-KEN-PLN,CM9,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,35.94,2.23
F02301,KWL,NRO,Kirkwall - North Ronaldsay,Kirkwall - North Ronaldsay - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF6-KWL-NRO,OF6,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,34.21,
F02302,NRO,PWY,North Ronaldsay - Papa Westray (Moclett),Kirkwall - North Ronaldsay - Papa Westray,Vehicle,Summer,Orkney Ferries,OF6-NRO-PWY,OF6,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,17.65,
F02401,KWL,NDY,Kirkwall - Sanday,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-KWL-NDY,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,18.35,1.42
F02402,NDY,EDY,Sanday - Eday,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-NDY-EDY,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.14,0.33
F02403,EDY,STY,Eday - Stronsay,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-EDY-STY,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,6.97,0.62
F02404,KWL,STY,Kirkwall - Stronsay,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-KWL-STY,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,21.59,1.63
F02405,EDY,KWL,Eday - Kirkwall,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-EDY-KWL,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,16.59,1.25
F02406,NDY,STY,Sanday - Stronsay,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Winter,Orkney Ferries,OF5-NDY-STY,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,5.63,0.58
F02501,KWS,SPY,Kirkwall (Shapinsay Pier) - Shapinsay,Kirkwall - Shapinsay,Vehicle,Year Round,Orkney Ferries,OF4-KWS-SPY,OF4,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,4.31,0.43
F02601,KWL,RAP,Kirkwall - Westray (Rapness),Kirkwall - Westray - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF5-KWL-RAP,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,19.15,1.42
F02602,RAP,PWY,Westray (Rapness) - Papa Westray (Moclett),Kirkwall - Westray - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF5-RAP-PWY,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,8.44,0.67
