taxi_id,reg_no,make,model,colour
1,AZ68 KOS,Mercury,Grand Marquis,Goldenrod
2,PX02 UGR,Mitsubishi,Pajero,Puce
3,ZI62 IWM,Nissan,Titan,Crimson
4,UF07 KFM,Volvo,V70,Mauv
5,HD58 OZI,Ford,Crown Victoria,Teal
6,RV16 VNO,Isuzu,Rodeo,Green
7,XO57 RUD,Toyota,Corolla,Blue
8,VQ52 BWX,Mazda,MX-6,Khaki
9,PL53 TXF,Plymouth,Grand Voyager,Aquamarine
10,FA66 XBX,Dodge,Caliber,Khaki
11,TM11 UZS,Chevrolet,Colorado,Puce
12,FL06 TIB,Buick,LeSabre,Crimson
13,CJ57 ZZL,Buick,LaCrosse,Teal
14,WC62 PLB,Mercury,Sable,Orange
15,YU69 RQF,Infiniti,J,Blue
16,FN69 HHG,Land Rover,LR2,Fuscia
17,WS03 WEC,Ford,Explorer,Mauv
18,ID50 QED,Hyundai,Santa Fe,Purple
19,FK06 SLO,Suzuki,SJ 410,Teal
20,PW01 VUL,Audi,4000s,Turquoise
