giftID,childID,gift,cost
1,87,LEGO Star Wars Ahsoka Clone Trooper,15.2
2,132,Nerf Elite 2.0 Double Punch Blaster,14.99
3,133,LEGO Technic Lamborghini,46.99
4,134,Chad Valley Wooden Pizza,5.33
5,53,Lump of coal,0.5
6,15,DesignaFriend Connie Fashion Designer Doll,30
7,86,Squishmallows Drew the Mint Dragon,40.66
8,99,Beast Lab Core Line Shark Playset,45
9,118,Lump of coal,0.5
10,65,Bitzee Interactive Digital Pet,26.15
11,191,Lump of coal,0.5
12,10,Lump of coal,0.5
13,189,Barbie Estate Dolls House and 3 Dolls,150
14,23,Chad Valley Wooden 2 in 1 Café,25
15,81,Lump of Coal,0.5
16,197,Fingerlings Monkey Pink - Harmony,11.25
17,174,LEGO Technic Lamborghini,46.99
18,17,Chad Valley Trevor Talk Back Dino,7.5
19,94,Nerf Elite 2.0 Double Punch Blaster,14.99
20,196,Chad Valley Wooden Pizza,5.33
21,92,Lump of Coal,0.5
22,52,LEGO Technic Lamborghini,46.99
23,166,DesignaFriend Connie Fashion Designer Doll,30
24,169,LEGO Star Wars Ahsoka Clone Trooper,15.2
25,36,Barbie Estate Dolls House and 3 Dolls,150
26,9,Chad Valley Trevor Talk Back Dino,7.5
27,160,Bitzee Interactive Digital Pet,26.15
28,142,Squishmallows Drew the Mint Dragon,40.66
29,38,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
30,198,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
31,106,Lump of coal,0.5
32,113,LEGO Technic Lamborghini,46.99
33,67,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
34,101,Chad Valley Wooden 2 in 1 Café,25
35,5,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
36,125,LEGO Star Wars Ahsoka Clone Trooper,15.2
37,34,Lump of coal,0.5
38,16,MGA's Miniverse - Make it Mini Food: Dine,24.99
39,121,Chad Valley Trevor Talk Back Dino,7.5
40,20,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
41,42,Lump of Coal,0.5
42,89,Bitzee Interactive Digital Pet,26.15
43,105,Furby Purple Interactive Toy Plush,44.99
44,151,Chad Valley Wooden Pizza,5.33
45,110,LEGO Technic Lamborghini,46.99
46,6,Beast Lab Core Line Shark Playset,45
47,82,Beast Lab Core Line Shark Playset,45
48,108,Squishmallows Drew the Mint Dragon,40.66
49,33,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
50,137,LEGO Harry Potter Dobby the House-Elf Figure,18.49
51,161,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
52,167,Chad Valley Wooden 2 in 1 Café,25
53,114,MGA's Miniverse - Make it Mini Food: Dine,24.99
54,57,Fingerlings Monkey Pink - Harmony,11.25
55,150,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
56,37,Fingerlings Monkey Pink - Harmony,11.25
57,71,Barbie Estate Dolls House and 3 Dolls,150
58,107,LEGO Harry Potter Dobby the House-Elf Figure,18.49
59,179,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
60,126,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
61,39,DesignaFriend Connie Fashion Designer Doll,30
62,77,Furby Purple Interactive Toy Plush,44.99
63,154,LEGO Technic Lamborghini,46.99
64,27,Lump of coal,0.5
65,193,Chad Valley Wooden 2 in 1 Café,25
66,41,Beast Lab Core Line Shark Playset,45
67,181,LEGO Star Wars Ahsoka Clone Trooper,15.2
68,64,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
69,7,Squishmallows Drew the Mint Dragon,40.66
70,200,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
71,199,Lump of coal,0.5
72,180,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
73,172,LEGO Technic Lamborghini,46.99
74,63,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
75,48,LEGO Harry Potter Dobby the House-Elf Figure,18.49
76,117,MGA's Miniverse - Make it Mini Food: Dine,24.99
77,32,Chad Valley Wooden 2 in 1 Café,25
78,45,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
