giftID,childID,gift,cost
1,162,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
2,183,Lump of coal,0.5
3,176,Lump of coal,0.5
4,189,LEGO Harry Potter Dobby the House-Elf Figure,18.49
5,12,LEGO Harry Potter Dobby the House-Elf Figure,18.49
6,150,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
7,9,LEGO Technic Lamborghini,46.99
8,4,Chad Valley Wooden 2 in 1 Café,25
9,28,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
10,10,Lump of coal,0.5
11,45,Fingerlings Monkey Pink - Harmony,11.25
12,5,Chad Valley Wooden 2 in 1 Café,25
13,97,MGA's Miniverse - Make it Mini Food: Dine,24.99
14,124,Bitzee Interactive Digital Pet,26.15
15,103,Lump of coal,0.5
16,190,Fingerlings Monkey Pink - Harmony,11.25
17,175,LEGO Star Wars Ahsoka Clone Trooper,15.2
18,56,Squishmallows Drew the Mint Dragon,40.66
19,126,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
20,69,MGA's Miniverse - Make it Mini Food: Dine,24.99
21,37,Chad Valley Wooden Pizza,5.33
22,139,MGA's Miniverse - Make it Mini Food: Dine,24.99
23,117,LEGO Harry Potter Dobby the House-Elf Figure,18.49
24,145,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
25,31,Nerf Elite 2.0 Double Punch Blaster,14.99
26,174,Nerf Elite 2.0 Double Punch Blaster,14.99
27,132,Chad Valley Wooden Pizza,5.33
28,18,Lump of coal,0.5
29,39,Furby Purple Interactive Toy Plush,44.99
30,92,Nerf Elite 2.0 Double Punch Blaster,14.99
31,35,MGA's Miniverse - Make it Mini Food: Dine,24.99
32,89,Beast Lab Core Line Shark Playset,45
33,59,LEGO Star Wars Ahsoka Clone Trooper,15.2
34,56,Furby Purple Interactive Toy Plush,44.99
35,71,Nerf Elite 2.0 Double Punch Blaster,14.99
36,25,Chad Valley Wooden 2 in 1 Café,25
37,106,Nerf Elite 2.0 Double Punch Blaster,14.99
38,197,Beast Lab Core Line Shark Playset,45
39,125,Squishmallows Drew the Mint Dragon,40.66
40,120,Squishmallows Drew the Mint Dragon,40.66
41,100,Chad Valley Wooden 2 in 1 Café,25
42,6,Fingerlings Monkey Pink - Harmony,11.25
43,156,Nerf Elite 2.0 Double Punch Blaster,14.99
44,87,LEGO Star Wars Ahsoka Clone Trooper,15.2
45,160,LEGO Harry Potter Dobby the House-Elf Figure,18.49
46,48,Fingerlings Monkey Pink - Harmony,11.25
47,63,Bitzee Interactive Digital Pet,26.15
48,198,Fingerlings Monkey Pink - Harmony,11.25
49,123,Bitzee Interactive Digital Pet,26.15
50,56,Bitzee Interactive Digital Pet,26.15
51,74,Beast Lab Core Line Shark Playset,45
52,114,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
53,165,Furby Purple Interactive Toy Plush,44.99
54,90,MGA's Miniverse - Make it Mini Food: Dine,24.99
55,147,Chad Valley Wooden 2 in 1 Café,25
56,152,Beast Lab Core Line Shark Playset,45
57,36,Chad Valley Wooden 2 in 1 Café,25
58,131,LEGO Technic Lamborghini,46.99
59,170,MGA's Miniverse - Make it Mini Food: Dine,24.99
60,81,Chad Valley Trevor Talk Back Dino,7.5
61,128,LEGO Harry Potter Dobby the House-Elf Figure,18.49
62,80,Bitzee Interactive Digital Pet,26.15
63,164,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
64,122,DesignaFriend Connie Fashion Designer Doll,30
65,166,Lump of coal,0.5
66,129,LEGO Technic Lamborghini,46.99
67,32,Beast Lab Core Line Shark Playset,45
68,79,LEGO Harry Potter Dobby the House-Elf Figure,18.49
69,108,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
70,51,Beast Lab Core Line Shark Playset,45
71,194,Beast Lab Core Line Shark Playset,45
72,16,LEGO Technic Lamborghini,46.99
73,151,Nerf Elite 2.0 Double Punch Blaster,14.99
74,142,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
75,101,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
76,2,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
77,14,Chad Valley Trevor Talk Back Dino,7.5
78,49,Barbie Estate Dolls House and 3 Dolls,150
79,178,Chad Valley Trevor Talk Back Dino,7.5
80,99,LEGO Technic Lamborghini,46.99
81,134,Squishmallows Drew the Mint Dragon,40.66
82,41,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
83,93,Fingerlings Monkey Pink - Harmony,11.25
84,7,Beast Lab Core Line Shark Playset,45
85,105,LEGO Star Wars Ahsoka Clone Trooper,15.2
86,27,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
87,110,Lump of coal,0.5
88,84,Fingerlings Monkey Pink - Harmony,11.25
89,15,LEGO Technic Lamborghini,46.99
90,81,Chad Valley Trevor Talk Back Dino,7.5
91,58,Chad Valley Trevor Talk Back Dino,7.5
92,72,Fingerlings Monkey Pink - Harmony,11.25
93,23,Lump of coal,0.5
94,83,Chad Valley Wooden 2 in 1 Café,25
95,141,Chad Valley Trevor Talk Back Dino,7.5
96,118,MGA's Miniverse - Make it Mini Food: Dine,24.99
97,188,DesignaFriend Connie Fashion Designer Doll,30
98,116,Lump of coal,0.5
99,161,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
100,76,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
101,195,LEGO Star Wars Ahsoka Clone Trooper,15.2
102,70,DesignaFriend Connie Fashion Designer Doll,30
103,61,LEGO Technic Lamborghini,46.99
104,20,Squishmallows Drew the Mint Dragon,40.66
105,177,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
106,154,Lump of coal,0.5
107,86,Bitzee Interactive Digital Pet,26.15
108,1,Furby Purple Interactive Toy Plush,44.99
109,78,Fingerlings Monkey Pink - Harmony,11.25
110,19,LEGO Harry Potter Dobby the House-Elf Figure,18.49
111,133,Chad Valley Wooden 2 in 1 Café,25
112,138,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
113,65,Beast Lab Core Line Shark Playset,45
114,171,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
115,33,DesignaFriend Connie Fashion Designer Doll,30
116,102,Beast Lab Core Line Shark Playset,45
117,191,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
118,185,Barbie Estate Dolls House and 3 Dolls,150
119,88,Barbie Estate Dolls House and 3 Dolls,150
120,144,Lump of coal,0.5
121,81,Chad Valley Trevor Talk Back Dino,7.5
122,157,Barbie Estate Dolls House and 3 Dolls,150
123,163,Beast Lab Core Line Shark Playset,45
124,54,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
125,137,Lump of coal,0.5
126,42,DesignaFriend Connie Fashion Designer Doll,30
127,40,Chad Valley Wooden Pizza,5.33
128,44,Fingerlings Monkey Pink - Harmony,11.25
129,62,Lump of coal,0.5
130,68,LEGO Star Wars Ahsoka Clone Trooper,15.2
131,109,Chad Valley Wooden 2 in 1 Café,25
132,180,Beast Lab Core Line Shark Playset,45
133,169,Squishmallows Drew the Mint Dragon,40.66
134,172,MGA's Miniverse - Make it Mini Food: Dine,24.99
135,112,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
136,57,LEGO Harry Potter Dobby the House-Elf Figure,18.49
137,182,Fingerlings Monkey Pink - Harmony,11.25
138,60,LEGO Harry Potter Dobby the House-Elf Figure,18.49
139,149,Furby Purple Interactive Toy Plush,44.99
140,8,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
141,113,MGA's Miniverse - Make it Mini Food: Dine,24.99
142,193,Lump of coal,0.5
143,179,Lump of coal,0.5
144,196,MGA's Miniverse - Make it Mini Food: Dine,24.99
145,22,Bitzee Interactive Digital Pet,26.15
146,159,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
147,173,DesignaFriend Connie Fashion Designer Doll,30
148,153,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
149,140,Fingerlings Monkey Pink - Harmony,11.25
150,67,LEGO Technic Lamborghini,46.99
151,199,Nerf Elite 2.0 Double Punch Blaster,14.99
152,94,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
153,52,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
154,135,LEGO Technic Lamborghini,46.99
155,184,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
156,30,LEGO Harry Potter Dobby the House-Elf Figure,18.49
157,55,Lump of coal,0.5
158,186,Chad Valley Trevor Talk Back Dino,7.5
159,29,Barbie Estate Dolls House and 3 Dolls,150
160,111,MGA's Miniverse - Make it Mini Food: Dine,24.99
161,91,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
162,85,LEGO Star Wars Ahsoka Clone Trooper,15.2
163,26,MGA's Miniverse - Make it Mini Food: Dine,24.99
164,121,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
165,107,MGA's Miniverse - Make it Mini Food: Dine,24.99
166,66,Squishmallows Drew the Mint Dragon,40.66
167,43,MGA's Miniverse - Make it Mini Food: Dine,24.99
168,187,Chad Valley Wooden 2 in 1 Café,25
169,38,Chad Valley Trevor Talk Back Dino,7.5
170,136,Lump of coal,0.5
171,115,Chad Valley Wooden Pizza,5.33
172,21,Bitzee Interactive Digital Pet,26.15
173,95,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
174,148,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
175,64,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
176,167,Chad Valley Wooden 2 in 1 Café,25
177,155,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
178,98,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
179,11,Furby Purple Interactive Toy Plush,44.99
180,127,Chad Valley Wooden 2 in 1 Café,25
181,130,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
182,96,Lump of coal,0.5
183,50,Squishmallows Drew the Mint Dragon,40.66
184,3,Beast Lab Core Line Shark Playset,45
185,13,Beast Lab Core Line Shark Playset,45
186,146,LEGO Technic Lamborghini,46.99
187,17,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
188,77,Lump of coal,0.5
189,181,Barbie Estate Dolls House and 3 Dolls,150
190,24,Bitzee Interactive Digital Pet,26.15
191,143,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
192,34,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
193,75,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
194,192,LEGO Harry Potter Dobby the House-Elf Figure,18.49
195,46,Nerf Elite 2.0 Double Punch Blaster,14.99
196,168,Chad Valley Wooden 2 in 1 Café,25
197,82,Bitzee Interactive Digital Pet,26.15
198,200,Bitzee Interactive Digital Pet,26.15
199,104,DesignaFriend Connie Fashion Designer Doll,30
200,53,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
201,80,MGA's Miniverse - Make it Mini Food: Dine,24.99
202,92,Fingerlings Monkey Pink - Harmony,11.25
203,48,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
204,50,LEGO Star Wars Ahsoka Clone Trooper,15.2
205,96,Lump of coal,0.5
206,91,MGA's Miniverse - Make it Mini Food: Dine,24.99
207,168,DesignaFriend Connie Fashion Designer Doll,30
208,130,Beast Lab Core Line Shark Playset,45
209,13,Bitzee Interactive Digital Pet,26.15
210,174,Chad Valley Wooden 2 in 1 Café,25
211,197,MGA's Miniverse - Make it Mini Food: Dine,24.99
212,193,Lump of coal,0.5
213,41,Chad Valley Trevor Talk Back Dino,7.5
214,39,LEGO Star Wars Ahsoka Clone Trooper,15.2
215,24,LEGO Star Wars Ahsoka Clone Trooper,15.2
216,146,Squishmallows Drew the Mint Dragon,40.66
217,67,Furby Purple Interactive Toy Plush,44.99
218,58,Chad Valley Wooden Pizza,5.33
219,200,DesignaFriend Connie Fashion Designer Doll,30
220,60,Squishmallows Drew the Mint Dragon,40.66
221,162,Chad Valley Wooden Pizza,5.33
222,115,Bitzee Interactive Digital Pet,26.15
223,106,Beast Lab Core Line Shark Playset,45
224,22,Chad Valley Trevor Talk Back Dino,7.5
225,105,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
226,140,Furby Purple Interactive Toy Plush,44.99
227,42,Squishmallows Drew the Mint Dragon,40.66
228,16,Furby Purple Interactive Toy Plush,44.99
229,164,Chad Valley Trevor Talk Back Dino,7.5
230,99,Chad Valley Trevor Talk Back Dino,7.5
231,97,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
232,15,Chad Valley Wooden Pizza,5.33
233,8,Barbie Estate Dolls House and 3 Dolls,150
234,84,DesignaFriend Connie Fashion Designer Doll,30
235,186,MGA's Miniverse - Make it Mini Food: Dine,24.99
236,56,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
237,189,LEGO Star Wars Ahsoka Clone Trooper,15.2
238,78,Bitzee Interactive Digital Pet,26.15
239,163,Furby Purple Interactive Toy Plush,44.99
240,85,Chad Valley Wooden 2 in 1 Café,25
241,100,Chad Valley Trevor Talk Back Dino,7.5
242,36,Chad Valley Trevor Talk Back Dino,7.5
243,69,Squishmallows Drew the Mint Dragon,40.66
244,90,Bitzee Interactive Digital Pet,26.15
245,98,LEGO Harry Potter Dobby the House-Elf Figure,18.49
246,86,Chad Valley Trevor Talk Back Dino,7.5
247,139,Squishmallows Drew the Mint Dragon,40.66
248,156,Furby Purple Interactive Toy Plush,44.99
249,132,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
250,198,Bitzee Interactive Digital Pet,26.15
251,116,Lump of coal,0.5
252,133,Chad Valley Trevor Talk Back Dino,7.5
253,102,Nerf Elite 2.0 Double Punch Blaster,14.99
254,183,Lump of coal,0.5
255,26,LEGO Star Wars Ahsoka Clone Trooper,15.2
256,61,LEGO Star Wars Ahsoka Clone Trooper,15.2
257,170,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
258,136,Lump of coal,0.5
259,135,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
260,45,Bitzee Interactive Digital Pet,26.15
261,20,Barbie Estate Dolls House and 3 Dolls,150
262,88,Bitzee Interactive Digital Pet,26.15
263,199,LEGO Technic Lamborghini,46.99
264,32,Furby Purple Interactive Toy Plush,44.99
265,187,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
266,52,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
267,185,Bitzee Interactive Digital Pet,26.15
268,118,Chad Valley Trevor Talk Back Dino,7.5
269,64,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
270,134,Beast Lab Core Line Shark Playset,45
271,4,Chad Valley Wooden 2 in 1 Café,25
272,141,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
273,188,Fingerlings Monkey Pink - Harmony,11.25
274,70,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
275,56,LEGO Technic Lamborghini,46.99
276,181,Barbie Estate Dolls House and 3 Dolls,150
277,169,MGA's Miniverse - Make it Mini Food: Dine,24.99
278,126,Chad Valley Wooden Pizza,5.33
279,14,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
280,161,Chad Valley Trevor Talk Back Dino,7.5
281,7,DesignaFriend Connie Fashion Designer Doll,30
282,173,Nerf Elite 2.0 Double Punch Blaster,14.99
283,120,Barbie Estate Dolls House and 3 Dolls,150
284,25,Beast Lab Core Line Shark Playset,45
285,154,Lump of coal,0.5
286,21,Bitzee Interactive Digital Pet,26.15
287,195,DesignaFriend Connie Fashion Designer Doll,30
288,127,LEGO Technic Lamborghini,46.99
289,172,Squishmallows Drew the Mint Dragon,40.66
290,40,DesignaFriend Connie Fashion Designer Doll,30
291,18,Lump of coal,0.5
292,65,Beast Lab Core Line Shark Playset,45
293,19,LEGO Harry Potter Dobby the House-Elf Figure,18.49
294,49,Chad Valley Trevor Talk Back Dino,7.5
295,43,LEGO Harry Potter Dobby the House-Elf Figure,18.49
296,11,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
297,165,Chad Valley Wooden 2 in 1 Café,25
298,110,Lump of coal,0.5
299,57,Nerf Elite 2.0 Double Punch Blaster,14.99
300,114,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
301,145,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
302,194,LEGO Harry Potter Dobby the House-Elf Figure,18.49
303,111,LEGO Harry Potter Dobby the House-Elf Figure,18.49
304,81,Squishmallows Drew the Mint Dragon,40.66
305,124,Barbie Estate Dolls House and 3 Dolls,150
306,152,MGA's Miniverse - Make it Mini Food: Dine,24.99
307,95,Fingerlings Monkey Pink - Harmony,11.25
308,46,Squishmallows Drew the Mint Dragon,40.66
309,178,Nerf Elite 2.0 Double Punch Blaster,14.99
310,179,Lump of coal,0.5
311,128,Fingerlings Monkey Pink - Harmony,11.25
312,6,Chad Valley Wooden 2 in 1 Café,25
313,71,Fingerlings Monkey Pink - Harmony,11.25
314,196,MGA's Miniverse - Make it Mini Food: Dine,24.99
315,54,Fingerlings Monkey Pink - Harmony,11.25
316,12,Nerf Elite 2.0 Double Punch Blaster,14.99
317,10,Lump of coal,0.5
318,38,Bitzee Interactive Digital Pet,26.15
319,35,DesignaFriend Connie Fashion Designer Doll,30
320,81,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
321,37,Chad Valley Trevor Talk Back Dino,7.5
322,148,MGA's Miniverse - Make it Mini Food: Dine,24.99
323,89,LEGO Harry Potter Dobby the House-Elf Figure,18.49
324,159,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
325,153,Chad Valley Wooden Pizza,5.33
326,125,Fingerlings Monkey Pink - Harmony,11.25
327,157,Furby Purple Interactive Toy Plush,44.99
328,72,Squishmallows Drew the Mint Dragon,40.66
329,53,Furby Purple Interactive Toy Plush,44.99
330,109,LEGO Harry Potter Dobby the House-Elf Figure,18.49
331,94,Chad Valley Wooden Pizza,5.33
332,180,MGA's Miniverse - Make it Mini Food: Dine,24.99
333,175,LEGO Technic Lamborghini,46.99
334,68,LEGO Harry Potter Dobby the House-Elf Figure,18.49
335,33,Chad Valley Wooden Pizza,5.33
336,62,Lump of coal,0.5
337,122,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
338,87,Fingerlings Monkey Pink - Harmony,11.25
339,9,Beast Lab Core Line Shark Playset,45
340,192,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
341,171,DesignaFriend Connie Fashion Designer Doll,30
342,176,Lump of coal,0.5
343,121,LEGO Technic Lamborghini,46.99
344,117,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
345,77,Lump of coal,0.5
346,34,Barbie Estate Dolls House and 3 Dolls,150
347,63,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
348,147,Fingerlings Monkey Pink - Harmony,11.25
349,66,Fingerlings Monkey Pink - Harmony,11.25
350,1,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
351,56,Squishmallows Drew the Mint Dragon,40.66
352,28,LEGO Star Wars Ahsoka Clone Trooper,15.2
353,184,Furby Purple Interactive Toy Plush,44.99
354,150,Bitzee Interactive Digital Pet,26.15
355,167,Beast Lab Core Line Shark Playset,45
