title,companyName,genre,ageGuidance,price,dateReleased,copiesSoldThisMonth
007 - Dr. No,Station Games,Action,7,29.99,2009-04-24,17792
6502 Simulator,TB Games,Simulation,16,19.99,1996-09-04,18000
Action Biker,StudioArts,Action,7,5.99,1996-07-28,18390
Adventure Island,TB Games,Adventure,18,19.99,2009-08-23,14842
Aerobic Dance,Victory,Dance,3,14.99,2012-11-27,15010
Alchemy,Elite,Action,7,19.99,2009-03-24,3494
Alien Attack,Elite,Action,7,14.99,2008-04-11,7236
Amusement Park,TB Games,Simulation,12,14.99,2005-02-03,6477
Amusement Park - Add on pack,TB Games,Simulation,3,29.99,2016-02-06,17199
Armageddon,Station Games,Action,7,7.99,2008-11-30,14378
Backgammon,StudioArts,Strategy,18,5.99,2008-01-27,8364
BattleChess,TB Games,Strategy,12,14.99,2016-08-28,6840
Boxing Fever,Eaglehead Software,Fighting,12,29.99,2008-07-11,5892
Breath of Life,Eaglehead Software,Simulation,7,19.99,1995-10-01,2282
Cave,Elite,Adventure,18,9.99,2005-11-13,12243
Celebrity Come Dancing,StudioArts,Dance,12,19.99,2004-03-13,9682
Championship Wrestling,StudioArts,Fighting,16,9.99,2010-04-13,11464
Chess 2000,Station Games,Strategy,16,5.99,2004-02-06,8481
ChessWorlds,Station Games,Strategy,18,9.99,2009-08-03,13078
Dance Revolution,TB Games,Dance,18,29.99,2014-10-12,12251
Dancing Queen,Elite,Dance,16,5.99,2014-08-07,3490
Dark Star,Victory,Action,7,14.99,2000-06-07,1158
Deep Strike,Eaglehead Software,Action,16,29.99,2010-10-22,15978
Devil's Revenge,Eaglehead Software,Action,12,34.99,2017-01-02,3004
Disco Diva,Eaglehead Software,Dance,18,14.99,2002-07-20,6126
Draughts,Elite,Strategy,18,14.99,2003-01-15,3782
DynaWarrior,Elite,Fighting,16,9.99,2010-12-27,11498
Elite III,TB Games,Adventure,7,14.99,2009-12-11,15978
Escape from Alcatraz,Eaglehead Software,Strategy,16,5.99,2006-11-12,4309
Fantastic Voyage,Eaglehead Software,Action,7,5.99,2006-11-01,15076
Fantastic Voyage - The return,TB Games,Action,12,14.99,2004-03-16,13842
Fighter King,TB Games,Fighting,18,14.99,2016-05-01,5652
Firefox Down,Elite,Action,18,34.99,2004-10-11,12432
Flight Sim - Airbus,Station Games,Simulation,18,5.99,2015-01-06,7568
Flight Sim - Combat Mission,Station Games,Simulation,18,19.99,1999-06-29,10486
Flight Sim - Mission Iraq,Station Games,Simulation,12,19.99,2010-04-18,3822
Flight Sim 2000,Station Games,Simulation,16,19.99,2008-07-10,9732
Freestyle Snowboarding,TB Games,Action,12,9.99,1996-04-24,16068
Fugitive,Elite,Action,16,29.99,2016-03-29,7450
Gedi Wars - Chronicles,StudioArts,Action,7,29.99,2010-12-28,13792
Gedi Wars - Galactic Battle,StudioArts,Action,12,9.99,2012-05-13,7434
Gedi Wars - I,Eaglehead Software,Action,7,5.99,2009-06-04,9191
Gedi Wars - II,Eaglehead Software,Action,18,34.99,1996-05-10,10914
Gedi Wars - III,Eaglehead Software,Action,12,5.99,2005-10-29,6965
Gedi Wars - IV,Eaglehead Software,Action,18,5.99,1998-09-01,5156
Gedi Wars - IX,Eaglehead Software,Action,18,9.99,2009-12-07,8308
Gedi Wars - Legend,StudioArts,Action,18,9.99,2008-11-11,13542
Gedi Wars - Origins,StudioArts,Action,18,29.99,2008-09-22,15978
Gedi Wars - Tactical Supremo,StudioArts,Action,7,14.99,2011-04-01,17414
Gedi Wars - The Battle for Alpha Prime,StudioArts,Action,16,19.99,2005-05-05,11145
Gedi Wars - V,Eaglehead Software,Action,12,9.99,1999-03-29,3054
Gedi Wars - VI,Eaglehead Software,Action,12,19.99,2015-08-29,9428
Gedi Wars - VII,Eaglehead Software,Action,12,29.99,1996-04-24,7008
Gedi Wars - VIII,Eaglehead Software,Action,16,29.99,2002-06-11,7941
Gedi Wars - X,Eaglehead Software,Action,18,9.99,2003-02-13,15010
Geoforce Skateboarder,Victory,Simulation,18,9.99,2001-07-29,15010
Gettysburg,TB Games,Strategy,18,34.99,2012-12-29,5834
Golf - St. Andrews,TB Games,Simulation,18,34.99,2007-12-31,13285
Golf - The Masters,TB Games,Simulation,12,9.99,1995-12-30,18390
Grand Prix 2000,Victory,Simulation,12,5.99,1999-11-08,18390
Grand Prix 2004,StudioArts,Simulation,18,19.99,2007-11-03,9478
Incredible Journey,Station Games,Action,16,14.99,2001-10-30,11618
International Conspiracy,Eaglehead Software,Action,18,34.99,2010-07-21,10460
Invasion Force,StudioArts,Action,7,14.99,2000-01-10,3454
Jacko's Party,Victory,Dance,12,29.99,2006-02-14,6033
Jujitsu Warriors,StudioArts,Fighting,12,14.99,2004-05-13,10266
Kung-Fu,Station Games,Fighting,12,5.99,2003-09-30,7554
Kung-Fu Revenge,Eaglehead Software,Fighting,18,9.99,2003-02-22,5308
Legend of Karos,Victory,Adventure,7,5.99,2003-04-23,9205
LunarBase,Elite,Action,7,5.99,2007-05-25,15010
ManicDancer,Victory,Dance,18,5.99,1995-11-19,15410
Mat Dance,TB Games,Dance,18,29.99,1997-02-13,16910
Mat Dance -,TB Games,Dance,3,9.99,2011-06-10,7808
Mat Dance - Competition,TB Games,Dance,18,34.99,2009-02-18,3975
Mat Dance Professional,TB Games,Dance,12,19.99,2004-04-02,10162
Middle Earth - Conquest,Eaglehead Software,Strategy,7,5.99,2009-02-06,16144
Middle Earth - Final Conquest,Eaglehead Software,Strategy,7,34.99,2014-05-29,8646
Middle Earth - Magiq,Eaglehead Software,Strategy,12,5.99,2015-02-21,6202
Monopoly,Station Games,Strategy,12,29.99,2014-01-10,3828
Motor Cycle Sim,Station Games,Simulation,16,34.99,2005-07-01,12458
Motorway Tycoon,StudioArts,Simulation,16,19.99,1999-11-16,10760
Ocean Race,StudioArts,Action,16,14.99,2000-04-06,3621
Omar Sharif's Bridge Tutor,Elite,Strategy,3,34.99,2004-05-15,3614
Operation - Nighthawk,TB Games,Action,12,9.99,2002-05-08,15752
Operation Genesis,TB Games,Action,12,34.99,2010-01-26,10988
Pharoh's Gold,Elite,Adventure,7,34.99,2013-05-15,15010
