journey_id,taxi_id,pick_up_date,pick_up_time,pax,pick_up_loc,drop_off_loc
1,10,2023-11-13,19:54:18,5,57 Transport Plaza,62272 Arapahoe Way
2,19,2023-11-15,8:19:56,4,5 Debra Pass,02 Mosinee Drive
3,20,2023-11-14,2:51:34,4,12953 Sloan Lane,404 Truax Parkway
4,1,2023-11-12,8:19:00,2,88642 Browning Alley,8547 Packers Point
5,12,2023-11-12,12:26:38,2,669 Vermont Road,1 Mcbride Center
6,14,2023-11-16,14:55:07,1,88686 Summer Ridge Drive,969 Burrows Road
7,5,2023-11-14,21:04:27,2,4841 Saint Paul Avenue,192 Thackeray Court
8,14,2023-11-14,4:22:41,4,19 Summerview Lane,14 Atwood Lane
9,2,2023-11-14,10:08:30,5,59 Mendota Way,52856 Eggendart Plaza
10,8,2023-11-14,13:50:09,5,80120 Kim Place,058 Union Park
11,6,2023-11-14,8:48:26,4,8 Blaine Drive,52156 Mcguire Terrace
12,5,2023-11-14,4:44:37,4,02535 Emmet Street,56 Fuller Center
13,13,2023-11-13,16:07:33,2,8056 High Crossing Place,3 Dorton Court
14,18,2023-11-15,18:37:13,5,8203 Brown Way,150 Golf Course Parkway
15,20,2023-11-13,15:22:59,1,200 Ronald Regan Crossing,1 Swallow Parkway
16,19,2023-11-16,22:22:03,1,06179 Autumn Leaf Point,75366 Troy Junction
17,14,2023-11-14,16:44:58,3,8282 Jackson Plaza,5 Valley Edge Road
18,19,2023-11-14,7:17:44,4,041 Kim Road,77473 Sachs Junction
19,5,2023-11-17,6:14:44,1,610 Nelson Lane,97108 Independence Place
20,16,2023-11-12,8:51:30,3,587 Canary Hill,8 Shasta Circle
21,11,2023-11-14,4:34:06,2,36958 Shelley Alley,9077 Dahle Center
22,14,2023-11-15,3:59:51,4,353 Judy Trail,833 Arizona Crossing
23,11,2023-11-15,8:08:11,2,4 Warner Road,81538 Dunning Park
24,11,2023-11-15,1:24:33,5,4004 Butternut Alley,7838 Moose Circle
25,9,2023-11-16,20:38:43,4,30 Golf Course Way,2387 Waubesa Plaza
26,14,2023-11-12,18:18:02,3,3 International Crossing,9852 Waxwing Drive
27,3,2023-11-14,11:36:30,2,471 Burrows Drive,20 Burrows Park
28,5,2023-11-17,17:16:50,4,82 Dakota Plaza,002 Nancy Crossing
29,3,2023-11-12,18:18:00,1,59 Morning Hill,3 Blaine Drive
30,16,2023-11-12,16:30:16,5,2 Anderson Lane,429 Grim Street
31,19,2023-11-15,8:15:38,5,61 Bayside Alley,8 Bunting Place
32,15,2023-11-14,20:14:02,5,48452 Barby Court,7619 Huxley Alley
33,7,2023-11-12,3:15:57,1,24202 Logan Point,10 Hayes Junction
34,12,2023-11-16,21:23:09,1,8 Claremont Avenue,9004 Vernon Avenue
35,19,2023-11-16,23:45:31,1,77569 Armistice Drive,0446 Bunker Hill Park
36,6,2023-11-15,12:46:39,4,66 Sunfield Crossing,107 Red Cloud Circle
37,14,2023-11-12,9:40:04,3,6843 Brickson Park Crossing,842 Gale Hill
38,10,2023-11-17,9:40:06,4,12 Pennsylvania Center,23030 Mcbride Junction
39,12,2023-11-15,1:19:53,1,189 Harper Crossing,63 Springs Avenue
40,4,2023-11-12,21:55:33,1,2 Becker Circle,7733 Old Shore Point
41,14,2023-11-12,18:02:25,2,65 Redwing Plaza,413 Waywood Drive
42,20,2023-11-14,11:33:13,5,35 Northport Park,42 Prentice Plaza
43,19,2023-11-13,9:28:48,2,45 Sloan Circle,201 Crest Line Center
44,20,2023-11-15,8:47:16,4,05 Coleman Terrace,422 Grasskamp Road
45,17,2023-11-17,4:56:26,3,797 Brown Trail,9 Mallory Plaza
46,2,2023-11-15,22:55:00,3,77426 Burrows Circle,20878 Nevada Alley
47,12,2023-11-17,21:19:41,5,36 Bluejay Crossing,2682 Pond Alley
48,14,2023-11-17,23:02:57,2,7 Larry Junction,69 American Road
49,3,2023-11-14,19:09:37,3,517 Bayside Drive,074 Briar Crest Park
50,6,2023-11-16,7:42:36,4,21970 Messerschmidt Drive,02539 Heffernan Lane
51,3,2023-11-17,5:22:13,5,95238 Stuart Hill,97856 Spohn Pass
52,1,2023-11-12,13:59:55,4,08891 Oxford Street,7 Sachtjen Point
53,11,2023-11-15,20:45:18,2,0 Elmside Plaza,5193 Green Ridge Lane
54,7,2023-11-16,23:02:28,2,26 Rieder Parkway,526 Norway Maple Drive
55,20,2023-11-12,23:32:01,3,685 Hintze Lane,2944 Northridge Crossing
56,4,2023-11-15,10:16:49,4,9 Weeping Birch Trail,2 Muir Point
57,20,2023-11-12,22:25:52,5,59228 Continental Crossing,14 Oak Place
58,12,2023-11-14,19:57:03,2,225 Starling Parkway,7360 Farwell Point
59,14,2023-11-13,1:11:50,1,73973 Oakridge Way,79375 Waywood Court
60,6,2023-11-12,8:57:03,4,966 Kropf Point,0031 Shelley Court
61,13,2023-11-15,7:44:45,5,2233 Caliangt Parkway,44 Arapahoe Terrace
62,4,2023-11-15,9:09:27,5,48 Northwestern Road,49 Schmedeman Circle
63,6,2023-11-12,20:54:58,1,0004 Westport Place,428 Cottonwood Way
64,8,2023-11-17,13:32:24,3,8 Hanover Avenue,36112 Dixon Parkway
65,4,2023-11-17,8:05:28,5,6847 Warbler Circle,66151 Lerdahl Junction
66,4,2023-11-17,20:28:51,4,2 Hoffman Circle,95 Prentice Alley
67,8,2023-11-15,9:52:19,5,9 Lakewood Circle,8 Caliangt Junction
68,3,2023-11-13,3:42:56,1,8 Orin Junction,6962 Russell Circle
69,11,2023-11-14,17:44:09,4,2416 Jenna Alley,7111 Mosinee Terrace
70,19,2023-11-12,2:35:59,1,329 Sugar Way,02 Lerdahl Point
71,1,2023-11-13,0:00:33,1,78 Bowman Crossing,4778 Utah Plaza
72,8,2023-11-13,15:11:49,3,7147 Del Mar Trail,6 Summerview Point
73,17,2023-11-16,13:51:39,1,224 Mcbride Trail,8776 Waxwing Trail
74,4,2023-11-14,6:28:32,1,8033 Declaration Street,423 Victoria Street
75,10,2023-11-12,3:49:22,2,98 Sugar Pass,9 Nelson Pass
76,15,2023-11-12,17:20:15,4,2 Melvin Alley,2 Sloan Hill
77,19,2023-11-14,14:58:19,1,41950 Golf View Junction,3 Butternut Way
78,2,2023-11-17,22:51:59,3,56539 Delaware Lane,99 Service Circle
