route_id,Route,Service,ferry_type,Seasonal,Operator,service_id,service_code,depart_code,arrive_code,service_type,operator_code,operator_url,subsidy_type,subsidy_provider,distance_miles,duration_est
F00101,Aberdeen - Kirkwall (Hatston),Aberdeen - Kirkwall - Lerwick,Vehicle,Year Round,Northlink Ferries,NL2-ABA-KWH,NL2,ABA,KWH,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,151.19,6.38
F00102,Aberdeen - Lerwick (Holmsgarth),Aberdeen - Kirkwall - Lerwick,Vehicle,Year Round,Northlink Ferries,NL2-ABA-LHM,NL2,ABA,LHM,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,217.73,12.88
F00103,Kirkwall (Hatston) - Lerwick (Holmsgarth),Aberdeen - Kirkwall - Lerwick,Vehicle,Year Round,Northlink Ferries,NL2-KWH-LHM,NL2,KWH,LHM,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,115.97,8.25
F00201,Mull (Tobermory) - Laga Bay,Ardnamurchan - Morvern - Mull,Passenger,Year Round,Ardnamurchan Charters,F28-TOB-LAG,F28,TOB,LAG,Lifeline,ADC,http://www.west-scotland-marine.com/en_GB/,Local Authority,Highland; Argyll & Bute Council,9.24,
F00203,Mull (Tobermory) - Drimnin,Ardnamurchan - Morvern - Mull,Passenger,Year Round,Ardnamurchan Charters,F28-TOB-DRM,F28,TOB,DRM,Lifeline,ADC,http://www.west-scotland-marine.com/en_GB/,Local Authority,Highland; Argyll & Bute Council,3.45,
F00301,Ardrossan - Arran (Brodick),Ardrossan - Arran,Vehicle,Year Round,CalMac Ferries,CM5-ARD-BRB,CM5,ARD,BRB,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.15,0.92
F00401,Arisaig - Eigg (Galmisdale),Arisaig - Eigg - Muck - Rum,Passenger,Summer,Arisaig Marine,F26-ARI-GAL,F26,ARI,GAL,Lifeline,ARI,http://www.arisaig.co.uk/eigg/,Private,,11.44,
F00501,Barra (Aird Mhor) - Eriskay (Ceann a Gharaidh),Barra - Eriskay,Vehicle,Year Round,CalMac Ferries,CM21-AHB-ERI,CM21,AHB,ERI,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.82,0.67
F00701,Barra (Castlebay) - Tiree,Barra - Tiree,Vehicle,Summer,CalMac Ferries,CM20-CBA-TRE,CM20,CBA,TRE,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,50.8,2.67
F00901,Claonaig - Arran (Lochranza),Claonaig - Arran,Vehicle,Summer,CalMac Ferries,CM6-CLB-LCR,CM6,CLB,LCR,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,4.52,0.5
F01001,Colintraive - Bute (Rhubodach),Colintraive - Bute,Vehicle,Year Round,CalMac Ferries,CM4-COT-RHU,CM4,COT,RHU,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,0.27,0.08
F01101,Cromarty - Nigg,Cromarty - Nigg,Vehicle,Summer,Highland Ferries,CF1-CRN-NGG,CF1,CRN,NGG,Lifeline,HFR,,Mixed,,0.81,
F01201,Seil (Ellenabeich) - Easdale,Ellenabeich - Easdale,Passenger,Year Round,Argyll & Bute Council,EAS-EAI-EAS,EAS,EAI,EAS,Lifeline,ABF,https://www.argyll-bute.gov.uk/ellenabeich-easdale-ferry-timetable,Local Authority,Argyll & Bute Council,0.24,0.08
F01301,Mull (Fionnphort) - Iona (Baile Mor),Fionnphort - Iona,Passenger,Year Round,CalMac Ferries,CM13-FIO-IOA,CM13,FIO,IOA,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,0.83,0.17
F01401,Fort William - Camusnagaul,Fort William - Camusnagaul,Passenger,Year Round,Highland Ferries,F02-FWL-CAM,F02,FWL,CAM,Lifeline,HFR,http://www.lochabertransport.org.uk/TransportinLochaber/PublicTransport/Ferries/CamusnagaulFerry.aspx,Local Authority,Highland Council,0.95,
F01501,Gills Bay - South Ronaldsay (St Margaret's Hope),Gill's Bay - South Ronaldsay,Vehicle,Year Round,Pentland Ferries,PF1-GIL-SMH,PF1,GIL,SMH,Lifeline,PEN,http://www.pentlandferries.co.uk/,Private,,19.99,1
F01601,Dunoon - Gourock,Gourock - Dunoon,Vehicle,Year Round,Argyll Ferries,CM1-DNU-GUR,CM1,DNU,GUR,Lifeline,AFL,http://www.argyllferries.co.uk/timetables-and-fares.htm,Scottish Government,Scottish Government,4.52,0.42
F01602,Dunoon (Hunter's Quay) - Gourock (McInroy's Point),Gourock - Dunoon,Vehicle,Year Round,Western Ferries,WF1-HUN-MCP,WF1,HUN,MCP,Lifeline,WFL,http://www.western-ferries.co.uk/timetable,Private,,2.5,0.33
