pupilID,subjectID,grade
1,3.1,No Award
1,3.2,No Award
1,3.3,No Award
1,3.4,No Award
1,3.5,No Award
1,3.6,No Award
3,3.1,C
3,3.2,A
3,3.3,C
3,3.4,C
3,3.5,D
3,3.6,D
4,4.1,B
4,4.2,B
4,4.3,B
4,4.4,C
4,4.5,C
4,4.6,D
5,4.1,B
5,4.2,C
5,4.3,C
5,4.4,C
5,4.5,B
5,4.6,C
6,4.1,B
6,4.2,C
6,4.3,B
6,4.4,No Award
6,4.5,C
6,4.6,C
7,4.1,C
7,4.2,C
7,4.3,C
7,4.4,C
7,4.5,B
7,4.6,C
8,4.1,B
8,4.2,C
8,4.3,C
8,4.4,A
8,4.5,B
8,4.6,No Award
9,2.1,B
9,2.2,C
9,2.3,D
9,2.4,C
9,2.5,C
9,2.6,C
10,4.1,C
10,4.2,B
10,4.3,C
10,4.4,D
10,4.5,B
10,4.6,C
11,4.1,No Award
11,4.2,C
11,4.3,B
11,4.4,C
11,4.5,B
11,4.6,D
13,2.1,C
13,2.2,A
13,2.3,B
13,2.4,C
13,2.5,A
13,2.6,C
15,3.1,No Award
15,3.2,No Award
15,3.3,No Award
15,3.4,No Award
15,3.5,No Award
15,3.6,No Award
16,4.1,C
16,4.2,C
16,4.3,B
16,4.4,C
16,4.5,B
16,4.6,D
17,4.1,C
17,4.2,D
17,4.3,C
17,4.4,C
17,4.5,B
17,4.6,B
20,2.1,C
20,2.2,B
20,2.3,C
20,2.4,C
20,2.5,C
20,2.6,D
21,4.1,No Award
21,4.2,No Award
21,4.3,No Award
21,4.4,No Award
21,4.5,No Award
21,4.6,No Award
22,3.1,C
22,3.2,C
22,3.3,C
22,3.4,C
22,3.5,C
22,3.6,D
23,4.1,C
23,4.2,C
23,4.3,C
23,4.4,B
23,4.5,C
23,4.6,C
24,4.1,C
24,4.2,C
24,4.3,C
24,4.4,B
24,4.5,C
24,4.6,C
25,3.1,C
25,3.2,B
25,3.3,C
25,3.4,C
25,3.5,B
25,3.6,C
26,4.1,A
26,4.2,C
26,4.3,C
26,4.4,C
26,4.5,C
26,4.6,C
28,4.1,C
28,4.2,C
28,4.3,C
28,4.4,B
28,4.5,C
28,4.6,B
29,3.1,B
29,3.2,B
29,3.3,C
29,3.4,B
29,3.5,C
29,3.6,B
31,2.1,C
31,2.2,C
31,2.3,C
31,2.4,C
31,2.5,C
31,2.6,C
34,4.1,C
34,4.2,C
34,4.3,C
34,4.4,C
34,4.5,C
34,4.6,C
35,3.1,No Award
35,3.2,No Award
35,3.3,No Award
35,3.4,No Award
35,3.5,No Award
35,3.6,No Award
36,4.1,C
36,4.2,C
36,4.3,No Award
36,4.4,C
36,4.5,C
36,4.6,D
38,2.1,C
38,2.2,C
38,2.3,B
38,2.4,C
38,2.5,C
38,2.6,A
39,4.1,C
39,4.2,C
39,4.3,B
39,4.4,C
39,4.5,C
39,4.6,B
40,3.1,C
40,3.2,C
40,3.3,C
40,3.4,B
40,3.5,C
40,3.6,B
42,3.1,B
42,3.2,B
42,3.3,C
42,3.4,B
42,3.5,C
42,3.6,D
44,4.1,C
44,4.2,C
44,4.3,C
44,4.4,C
44,4.5,B
44,4.6,C
45,4.1,No Award
45,4.2,C
45,4.3,C
45,4.4,D
45,4.5,C
45,4.6,C
47,3.1,B
47,3.2,D
47,3.3,C
47,3.4,C
47,3.5,C
47,3.6,D
48,4.1,C
48,4.2,C
48,4.3,C
48,4.4,C
48,4.5,C
48,4.6,B
49,3.1,C
49,3.2,No Award
49,3.3,D
49,3.4,C
49,3.5,A
49,3.6,C
50,3.1,C
50,3.2,C
50,3.3,C
50,3.4,D
50,3.5,D
50,3.6,C
53,4.1,B
53,4.2,C
53,4.3,A
53,4.4,C
53,4.5,C
53,4.6,C
55,4.1,C
55,4.2,C
55,4.3,B
55,4.4,B
55,4.5,C
55,4.6,C
56,2.1,C
56,2.2,No Award
56,2.3,A
56,2.4,C
56,2.5,C
56,2.6,C
57,3.1,C
57,3.2,C
57,3.3,C
57,3.4,A
57,3.5,C
57,3.6,No Award
59,2.1,C
59,2.2,D
59,2.3,C
59,2.4,B
59,2.5,C
59,2.6,C
60,4.1,C
60,4.2,C
60,4.3,D
60,4.4,C
60,4.5,B
60,4.6,B
61,3.1,No Award
61,3.2,No Award
61,3.3,No Award
61,3.4,No Award
61,3.5,No Award
61,3.6,No Award
62,3.1,C
62,3.2,C
62,3.3,C
62,3.4,B
62,3.5,C
62,3.6,C
63,3.1,No Award
63,3.2,No Award
63,3.3,No Award
63,3.4,No Award
63,3.5,No Award
63,3.6,No Award
64,3.1,D
64,3.2,C
64,3.3,C
64,3.4,C
64,3.5,C
64,3.6,No Award
65,2.1,D
65,2.2,D
65,2.3,C
65,2.4,B
65,2.5,C
65,2.6,A
66,4.1,B
66,4.2,No Award
66,4.3,C
66,4.4,A
66,4.5,C
66,4.6,C
67,4.1,C
67,4.2,C
67,4.3,D
67,4.4,D
67,4.5,B
67,4.6,C
70,4.1,C
70,4.2,C
70,4.3,B
70,4.4,C
70,4.5,C
70,4.6,C
71,4.1,No Award
71,4.2,No Award
71,4.3,No Award
71,4.4,No Award
71,4.5,No Award
71,4.6,No Award
72,3.1,C
72,3.2,C
72,3.3,A
72,3.4,B
72,3.5,B
72,3.6,C
73,3.1,No Award
73,3.2,No Award
73,3.3,No Award
73,3.4,No Award
73,3.5,No Award
73,3.6,No Award
74,4.1,C
74,4.2,C
74,4.3,C
74,4.4,D
74,4.5,C
74,4.6,C
76,2.1,C
76,2.2,B
76,2.3,C
76,2.4,B
76,2.5,C
76,2.6,C
77,4.1,B
77,4.2,C
77,4.3,C
77,4.4,C
77,4.5,C
77,4.6,B
78,4.1,C
78,4.2,D
78,4.3,D
78,4.4,D
78,4.5,C
78,4.6,C
79,3.1,C
79,3.2,C
79,3.3,B
79,3.4,C
79,3.5,C
79,3.6,C
80,4.1,C
80,4.2,C
80,4.3,A
80,4.4,B
80,4.5,C
80,4.6,C
81,3.1,B
81,3.2,C
81,3.3,C
81,3.4,D
81,3.5,C
81,3.6,B
82,3.1,No Award
82,3.2,No Award
82,3.3,No Award
82,3.4,No Award
82,3.5,No Award
82,3.6,No Award
84,4.1,D
84,4.2,C
84,4.3,A
84,4.4,A
84,4.5,C
84,4.6,A
85,3.1,C
85,3.2,C
85,3.3,B
85,3.4,C
