pet_id,name,type,dob
1,Hans,Cat,2015-09-22
2,Minnnie,Gerbil,2021-05-24
3,Bo,Rabbit,2011-10-13
4,Joscelin,Gerbil,2022-02-19
5,Gage,Dog,2020-02-14
6,Ginger,Guinea Pig,2020-10-06
7,Christalle,Dog,2014-01-05
8,Tomasina,Gerbil,2012-12-16
9,Wilfrid,Rabbit,2013-06-09
10,Garland,Chinchilla,2016-11-10
11,Lew,Guinea Pig,2013-03-08
12,Nerissa,Rabbit,2019-09-09
13,Dniren,Ferret,2012-01-21
14,Cirillo,Gerbil,2011-11-09
15,Jacquelyn,Ferret,2011-07-22
16,Rochelle,Chinchilla,2016-04-11
17,Glynis,Rat,2015-03-15
18,Tobe,Rat,2014-04-16
19,Pyotr,Cat,2019-06-17
20,Olga,Guinea Pig,2012-12-09
21,Rey,Guinea Pig,2019-04-20
22,Lorette,Gerbil,2015-03-11
23,Joaquin,Guinea Pig,2014-02-07
24,Milton,Hamster,2011-09-11
25,Ransell,Hamster,2013-07-18
