authorRef.forename,surname,nationality,dob,website
1862,Nick,Hornby,British,1957-04-17,www.nickhornbyofficial.com
1902,Gareth,Owen,British,,www.garethowen.com
2002,Eric,Carle,American,1929-06-25,www.eric-carle.com
2715,Jon,Blake,British,,jonblakeblog.wordpress.com
2864,Kenneth,Oppel,Canadian,1967-08-31,www.kennethoppel.ca
3197,Joanne,Rowling,British,1965-07-31,www.jkrowling.com
3390,Patricia,Cornwell,American,1956-06-09,www.patriciacornwell.com
3507,Nick,Hunter,British,,
3713,Mick,Inkpen,British,,
4079,Jack,Higgins,British,1929-07-27,
4097,Mary,Berry,British,1935-03-24,
4231,Nicholas,Evans,British,1950-07-26,www.nicholasevens.com
