pet_id,name,type,dob
1,Hans,Cat,2018-09-21
2,Minnnie,Gerbil,2024-05-23
3,Bo,Rabbit,2014-10-12
4,Joscelin,Gerbil,2025-02-18
5,Gage,Dog,2023-02-13
6,Ginger,Guinea Pig,2023-10-06
7,Christalle,Dog,2017-01-04
8,Tomasina,Gerbil,2015-12-16
9,Wilfrid,Rabbit,2016-06-08
10,Garland,Chinchilla,2019-11-10
11,Lew,Guinea Pig,2016-03-07
12,Nerissa,Rabbit,2022-09-08
13,Dniren,Ferret,2015-01-20
14,Cirillo,Gerbil,2014-11-08
15,Jacquelyn,Ferret,2014-07-21
16,Rochelle,Chinchilla,2019-04-11
17,Glynis,Rat,2018-03-14
18,Tobe,Rat,2017-04-15
19,Pyotr,Cat,2022-06-16
20,Olga,Guinea Pig,2015-12-09
21,Rey,Guinea Pig,2022-04-19
22,Lorette,Gerbil,2018-03-10
23,Joaquin,Guinea Pig,2017-02-06
24,Milton,Hamster,2014-09-10
25,Ransell,Hamster,2016-07-17
